;Zu Fuss;;Velo (inkl. E-Bike);;Motorisierte Zweiräder;;Auto;;Eisenbahn;;Öffentlicher Strassenverkehr;;übrige Verkehrsmittel (inkl. weiss nicht/keine Angabe);
0-1 Uhr;1,1;0,1;0,2;0;0;0;1,5;0,1;0,2;0;0,3;0;0,1;0
1-2 Uhr;0,5;0,1;0,1;0;0;0;0,7;0,1;0,1;0;0,1;0;0,1;0
2-3 Uhr;0,3;0;0;0;0;0;0,5;0,1;0;0;0;0;0;0
3-4 Uhr;0,2;0;0;0;0;0;0,4;0,1;0;0;0;0;0,1;0
4-5 Uhr;0,4;0;0,1;0;0,1;0;1;0,1;0;0;0;0;0,1;0
5-6 Uhr;2;0,1;0,3;0;0,2;0;3,4;0,1;0,4;0;0,4;0,1;0,1;0
6-7 Uhr;7,1;0,2;1,5;0,1;0,4;0,1;9,2;0,2;2,1;0,1;2;0,1;0,2;0
7-8 Uhr;14,8;0,3;2,7;0,1;0,5;0,1;12,2;0,3;3,6;0,1;4,1;0,2;0,6;0,1
8-9 Uhr;13,5;0,3;1,9;0,1;0,3;0;11,1;0,2;2,1;0,1;2,8;0,1;0,5;0,1
9-10 Uhr;12,7;0,3;1,7;0,1;0,2;0;12;0,3;1,2;0,1;1,8;0,1;0,4;0,1
10-11 Uhr;12,6;0,3;1,7;0,1;0,3;0;12,3;0,3;1,1;0,1;1,8;0,1;0,5;0,1
11-12 Uhr;17,2;0,3;2,5;0,1;0,4;0,1;14,3;0,3;1,1;0,1;2,3;0,1;0,7;0,1
12-13 Uhr;15,8;0,3;2,4;0,1;0,5;0,1;12,9;0,3;1,2;0,1;2,3;0,1;0,6;0,1
13-14 Uhr;17,6;0,3;2,6;0,1;0,5;0,1;14,2;0,3;1,3;0,1;2,4;0,1;0,7;0,1
14-15 Uhr;15,7;0,3;1,9;0,1;0,3;0;13,1;0,3;1,3;0,1;2,1;0,1;0,6;0,1
15-16 Uhr;17,3;0,3;2,1;0,1;0,4;0;13,9;0,3;1,5;0,1;2,5;0,1;0,8;0,1
16-17 Uhr;18,4;0,3;2,6;0,1;0,6;0,1;17,4;0,3;2,7;0,1;3,6;0,1;0,8;0,1
17-18 Uhr;17,6;0,3;3;0,1;0,7;0,1;19,5;0,3;3,8;0,1;4,3;0,2;0,6;0,1
18-19 Uhr;14;0,3;2,4;0,1;0,5;0,1;15,6;0,3;2,9;0,1;3,1;0,1;0,4;0
19-20 Uhr;10;0,2;1,5;0,1;0,3;0;11,1;0,2;1,7;0,1;1,9;0,1;0,3;0
20-21 Uhr;6,6;0,2;1;0,1;0,2;0;7,1;0,2;1,1;0,1;1,2;0,1;0,2;0
21-22 Uhr;5;0,2;0,7;0,1;0,1;0;5,6;0,2;0,8;0,1;0,8;0,1;0,1;0
22-23 Uhr;4;0,2;0,5;0,1;0,1;0;4,8;0,2;0,6;0,1;0,7;0,1;0,1;0
23-24 Uhr;2,4;0,1;0,3;0;0,1;0;3;0,1;0,5;0,1;0,5;0,1;0,1;0
